name,image,caption,author,country,language,series,genre,publisher,release_date,media_type,pages,isbn,isbn_note,oclc,preceded_by,followed_by,subject,published,pub_date,dewey,congress,image_size,cover_artist,audio_read_by,illustrator,image_caption,alt,title_orig,release_number,publisher2,english_pub_date,website,border,orig_lang_code,native_wikisource,wikisource,awards,ISBN,translator,english_release_date
The October Horse,ColleenMcCullough TheOctoberHorse.jpg,First US edition cover,[[Colleen McCullough]],Australia,English,[[Masters of Rome]] series,"Historical, novel",[[Century (imprint)|Century]] (UK)<br>[[Simon & Schuster]] (US),7 November 2002,Print ([[Hardcover|Hardback]] & [[Paperback]]),608,0-7126-8056-X,"(first edition, hardback)",59462504,[[Caesar (McCullough novel)|Caesar]],[[Antony and Cleopatra (novel)|Antony and Cleopatra]],,,,,,,,,,,,,,,,,,,,,,,,
Germany: Memories of a Nation,Germany Memories of a Nation.jpg,First edition,[[Neil MacGregor]],United Kingdom,English,,,Allen Lane; [[Penguin Books]],,,598,978-0-241-00833-1,(Hardcover),,,,[[History of Germany]],London,2014,943,,,,,,,,,,,,,,,,,,,,
Darwin's Radio,DarwinsRadio(1stEd).jpg,Cover of first edition (hardcover),[[Greg Bear]],United States,English,Darwin series,"Science, fiction, novel",[[Del Rey Books|Del Rey]],31 August 1999,Print (hardback & paperback),448,0-345-42333-X,,40940104,,[[Darwin's Children]],,,,813/.54 21,PS3552.E157 D43 1999,,,,,,,,,,,,,,,,,,,
King's Wrath,McIntosh - King's Wrath Coverart.png,,[[Fiona McIntosh]],Australia,English,''[[Valisar]]'',"Fantasy, novel, Fantasy",[[HarperVoyager]],,Print (hardback & paperback),528,978-0-7322-8478-7,,419533384,[[Tyrant's Blood]],,,,2010,,,,,,,,,,,,,,,,,,,,,
Blood Fever,BloodFever.jpg,Puffin Books 2006 British paperback edition.,[[Charlie Higson]],United Kingdom,English,[[James Bond]] / [[Young Bond]],"Spy, novel",[[Puffin Books]],5 January 2006,Print ([[Hardcover]] and [[Paperback]]),384,0-14-131860-0,"(first edition, paperback)",62132226,[[SilverFin]],[[Double or Die]],,,,,,,,,,,,,,,,,,,,,,,,
The Dark Is Rising Sequence,Darkisrising.jpg,British omnibus edition front cover,[[Susan Cooper]],United Kingdom,English,,"Children's, literature, Children's, fantasy, novels",[[Random House Children's Books]],,Print ([[Paperback#Trade paperback|trade paperback]]),786,0-14-031688-4,,50597816,,,,,[[1984 in literature|1984]],,,200px,Oliver Burston,,,,,,,,,,,,,,,,,
When Stars Are Scattered,When Stars Are Scattered.jpg,,[[Victoria Jamieson]] and Omar Mohamed,,English,,"Memoir, Graphic, novel",[[Dial Press]],,"[[Hardcover]], [[paperback]], [[audiobook]]",264,9780525553908,,,,,,,"April 14, 2020",,,,,"[[Faysal Ahmed]], [[Barkhad Abdi]], [[Victoria Jamieson]], Omar Mohamed, [[Robin Miles]], Ifrah Mansour, [[Bahni Turpin]], Hakeemshady Mohamed, Sadeeq Ali, [[Dominic Hoffman]], Christine Avila, and JD Jackson",[[Victoria Jamieson]] and Iman Geddy,,,,,,,,,,,,,,,
Aru Shah and the Tree of Wishes,Treeofwishes.jpg,First edition cover,[[Roshani Chokshi]],[[United States]],English,[[Pandava Quintet]],"Fantasy, mythology",[[Disney-Hyperion]],,,,9781368013857,,,[[Aru Shah and the Song of Death]],[[Aru Shah and the City of Gold]],,,"April 7, 2020",,,250px,,,,Tree of Wishes,"Aru, Mini and Brynne, facing The Sleeper.",,,,,,,,,,,,,
The Gentle Falcon,File:The Gentle Falcon cover.jpg,First edition,[[Hilda Lewis]],United Kingdom,English,,"Historical, fiction",,1952,Print,250,,,,,,,,,,,,,,[[Evelyn Gibbs]],,,,,,,,,,,,,,,
Charlie Johnson in the Flames,Charlie Johnson in the Flames.jpg,,[[Michael Ignatieff]],Canada & United States,English,,,[[Grove Press]],,Print,179,978-0-670-04431-3,,52496182,,,,,October 2003,,,,,,,,,,,,,,,,,,,,,
The Coming Insurrection,ComingInsurrection.jpg,,The Invisible Committee,France,"French,",(English): Semiotext(e) Intervention Series,Anarchism,Editions La Fabrique,,Print (Paperback),128,978-1-58435-080-4,,423751089,,[[The Invisible Committee#To Our Friends|To Our Friends]],[[Political philosophy]],,2007,,,,,,,,,L’insurrection Qui Vient,(English): 1,Semiotext(e),2009,{{cite web|url|=|https://lafabrique.atheles.org/livres/linsurrectionquivient |title|=|La Fabrique Editions}} {{cite web|url|=|http://semiotexte.com/?p=1416 |title|=|Semiotext(e)}},,,,,,,,
New Oxford American Dictionary,"New Oxford American Dictionary, third edition (front cover).jpg",,Angus Stevenson (editor)<br />Christine A. Lindberg (editor),,,,,[[Oxford University Press]],,Print ([[Hardcover]]),2096,978-0-19-539288-3,,,,,Dictionary of American English,,"third edition, August 2010",,,,,,,,,,,,,,,,,,,,,
